c_CP	D_mnpio	c_estado
31056	Oxkutzcab	31
31058	Peto	31
31098	Tzucacab	31
31079	Tekax	31
31003	Akil	31
32056	Zacatecas	32
32007	Concepcion del Oro	32
32022	Juan Aldama	32
32029	Miguel Auza	32
32014	General Francisco R. Murguia	32
32039	Rio Grande	32
32051	Villa de Cos	32
32005	Calera	32
32037	Panuco	32
32013	General Enrique Estrada	32
32017	Guadalupe	32
32057	Trancoso	32
32012	Genaro Codina	32
32008	Cuauhtemoc	32
32036	Ojocaliente	32
32016	General Panfilo Natera	32
32025	Luis Moya	32
32024	Loreto	32
32053	Villa Gonzalez Ortega	32
32035	Noria de angeles	32
32052	Villa Garcia	32
32038	Pinos	32
32054	Villa Hidalgo	32
32010	Fresnillo	32
32042	Sombrerete	32
32040	Sain Alto	32
32049	Valparaiso	32
32009	Chalchihuites	32
32021	Jimenez del Teul	32
32020	Jerez	32
32031	Monte Escobedo	32
32055	Villanueva	32
32046	Tepetongo	32
32019	Jalpa	32
32044	Tabasco	32
32018	Huanusco	32
32048	Tlaltenango de Sanchez Roman	32
32030	Momax	32
32003	Atolinga	32
32045	Tepechitlan	32
32004	Benito Juarez	32
32047	Teul de Gonzalez Ortega	32
32058	Santa Maria de la Paz	32
32034	Nochistlan de Mejia	32
32001	Apozol	32
32023	Juchipila	32
32033	Moyahua de Estrada	32
