c_mnpio,D_mnpio,c_estado
6,Acultzingo,30
147,Soledad Atzompa,30
74,Huiloapan de Cuauhtémoc,30
195,Xoxocotla,30
168,Tequila,30
140,San Andrés Tenejapan,30
185,Tlilapan,30
113,Naranjal,30
117,Omealca,30
53,Cuitláhuac,30
52,Cuichapa,30
196,Yanga,30
14,Amatlán de los Reyes,30
21,Atoyac,30
125,Paso del Macho,30
49,Cotaxtla,30
201,Zongolica,30
159,Tehuipango,30
110,Mixtla de Altamirano,30
171,Texhuacán,30
173,Tezonapa,30
174,Tierra Blanca,30
181,Tlalixcoyan,30
11,Alvarado,30
97,Lerdo de Tejada,30
207,Tres Valles,30
208,Carlos A. Carrillo,30
45,Cosamaloapan de Carpio,30
12,Amatitlán,30
178,Tlacotalpan,30
139,Saltabarranca,30
176,Tlacojalpan,30
169,José Azueta,30
130,Playa Vicente,30
77,Isla,30
94,Juan Rodríguez Clara,30
141,San Andrés Tuxtla,30
143,Santiago Tuxtla,30
15,Angel R. Cabada,30
73,Hueyapan de Ocampo,30
32,Catemaco,30
149,Soteapan,30
104,Mecayapan,30
209,Tatahuicapan de Juárez,30
122,Pajapan,30
59,Chinameca,30
3,Acayucan,30
142,San Juan Evangelista,30
144,Sayula de Alemán,30
116,Oluta,30
145,Soconusco,30
172,Texistepec,30
89,Jáltipan,30
120,Oteapan,30
48,Cosoleacaque,30
206,Nanchital de Lázaro Cárdenas del Río,30
82,Ixhuatlán del Sureste,30
111,Moloacán,30
39,Coatzacoalcos,30
204,Agua Dulce,30
108,Minatitlán,30
70,Hidalgotitlán,30
91,Jesús Carranza,30
61,Las Choapas,30
210,Uxpanapa,30
50,Mérida,31
59,Progreso,31
38,Hunucmá,31
100,Ucú,31
41,Kanasín,31
2,Acanceh,31
101,Umán,31
82,Telchac Pueblo,31
26,Dzemul,31
68,Sinanché,31
52,Motul,31
7,Cacalchén,31
27,Dzidzantún,31
40,Izamal,31
67,Seyé,31
60,Quintana Roo,31
96,Tizimín,31
32,Espita,31
81,Tekom,31
19,Chemax,31
102,Valladolid,31
48,Maxcanú,31
33,Halachó,31
53,Muna,31
89,Ticul,31
56,Oxkutzcab,31
58,Peto,31
98,Tzucacab,31
79,Tekax,31
3,Akil,31
56,Zacatecas,32
7,Concepción del Oro,32
22,Juan Aldama,32
29,Miguel Auza,32
14,General Francisco R. Murguía,32
39,Río Grande,32
51,Villa de Cos,32
5,Calera,32
37,Pánuco,32
13,General Enrique Estrada,32
17,Guadalupe,32
57,Trancoso,32
12,Genaro Codina,32
8,Cuauhtémoc,32
36,Ojocaliente,32
16,General Pánfilo Natera,32
25,Luis Moya,32
24,Loreto,32
53,Villa González Ortega,32
35,Noria de Ángeles,32
52,Villa García,32
38,Pinos,32
54,Villa Hidalgo,32
10,Fresnillo,32
42,Sombrerete,32
40,Sain Alto,32
49,Valparaíso,32
9,Chalchihuites,32
21,Jiménez del Teul,32
20,Jerez,32
31,Monte Escobedo,32
55,Villanueva,32
46,Tepetongo,32
19,Jalpa,32
44,Tabasco,32
18,Huanusco,32
48,Tlaltenango de Sánchez Román,32
30,Momax,32
3,Atolinga,32
45,Tepechitlán,32
4,Benito Juárez,32
47,Teúl de González Ortega,32
58,Santa María de la Paz,32
34,Nochistlán de Mejía,32
1,Apozol,32
23,Juchipila,32
33,Moyahua de Estrada,32
